Peak Brightness Date/Time (UT),Altitude (km),Latitude (deg),Longitude (deg),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
5/14/2013 23:20,36.38333333,3.0S,76.4E,14.63184787,8.708333333,-7.741666667,8.85,2.00E+10,0.073
4/30/2013 8:40,21.2,35.5N,30.7W,12.08304597,1,-8,9,5.11E+12,10
4/21/2013 6:23,40.7,28.1S,64.6W,14.89966443,5,1,14,1.07E+12,2.5
3/12/2013 10:32,26,32.7S,17.1E,13.25904827,7.766666667,-8.175,-6.975,2.90E+10,0.1
2/20/2013 13:13,34.10833333,23.0S,38.8W,13.6381817,-11,-1,-8,3.20E+10,0.1
2/15/2013 3:20,23.3,54.8N,61.1E,18.61424186,12.8,-2.4,-13.3,3.75E+14,440
2/7/2013 13:12,34.69166667,18.8S,158.6W,14.16368841,-8.466666667,-8.525,7.5,6.50E+10,0.21
1/25/2013 7:40,32,60.3N,64.6W,13.74997727,7.525,8.575,7.675,3.40E+12,6.9
1/12/2013 3:04,36.1,15.1S,155.6W,13.08407907,6.866666667,-5.716666667,-9.558333333,4.80E+10,0.16
12/30/2012 7:25,33.825,17.3N,83.6W,14.35212431,-7.841666667,9.333333333,-7.575,1.98E+11,0.55
12/18/2012 11:19,36.925,12.37860397138558W,23.641232513638812N,17.16428988,-9.05,-12.48333333,-7.541666667,2.70E+10,0.095
11/20/2012 20:37,33.3,2.5N,29.6E,14.31851948,-12.2,5.3,-5.3,2.50E+10,0.089
11/20/2012 6:25,35.63333333,8.0S,86.0W,14.84369722,10.38333333,-4.6,9.558333333,1.20E+11,0.36
10/25/2012 15:57,35.61666667,10.585983531111832W,82.6023314396561N,15.96309981,10.45,-7.483333333,9.466666667,3.00E+10,0.1
10/19/2012 16:26,29.3,75.4S,49.6E,13.20075755,-2.3,12.4,-3.9,2.30E+10,0.082
